dataset,sample,pair_id,Tissue,module_score,gastric_lineage_deconv_score,broad_epithelial_deconv_score
GSE29272,GSM723607,TYB0072,Tumor,-0.459079574157291,0.195571109193385,-0.552682048054131
GSE29272,GSM723608,TYC0001,Normal,-1.13808993854208,-2.103403891166,-3.03430466079847
GSE29272,GSM723609,TYC0001,Tumor,-0.87768023173708,-0.915894276291681,-0.247957790336397
GSE29272,GSM723610,TYC0002,Normal,-0.0457379339416413,-1.24175087335487,-1.74266565192301
GSE29272,GSM723611,TYC0002,Tumor,-1.27693369869473,-0.843900031441014,-0.280670461844428
GSE29272,GSM723612,TYC0003,Normal,0.322512356724278,-0.34377174000062,-0.185786687568073
GSE29272,GSM723613,TYC0003,Tumor,-1.15082072326432,-0.590309135054645,-0.645750583607177
GSE29272,GSM723614,TYC0004,Normal,0.789175946740278,-0.541470889866506,-0.691790488301665
GSE29272,GSM723615,TYC0004,Tumor,-0.977220096331692,0.0495235402681713,0.811817571919642
GSE29272,GSM723616,TYC0005,Normal,0.822061228769054,-0.303626722375008,-0.214252210607833
GSE29272,GSM723617,TYC0005,Tumor,-1.01938783286427,-0.857806903366413,-0.668888272119445
GSE29272,GSM723618,TYC0006,Normal,0.691588893675971,-0.515252530541354,-0.379167652408544
GSE29272,GSM723619,TYC0006,Tumor,-1.23847113032377,-0.968637910670374,0.667135685174222
GSE29272,GSM723620,TYC0007,Normal,0.540104162928648,-0.138075609551717,-0.191999490810625
GSE29272,GSM723621,TYC0007,Tumor,-1.0914336984325,0.328871482267304,0.56488232100008
GSE29272,GSM723622,TYC0008,Normal,0.682452772651189,-0.232028002228483,-0.610612168243437
GSE29272,GSM723623,TYC0008,Tumor,0.101855884561123,-0.44147786044313,-0.196871710539824
GSE29272,GSM723624,TYC0009,Normal,0.456598818815446,-0.549578319307448,-1.064839357871
GSE29272,GSM723625,TYC0009,Tumor,-0.997266048456158,-0.594788956885701,0.242386843950792
GSE29272,GSM723626,TYC0010,Normal,0.754247837763114,-0.385603170447545,-0.655474147693952
GSE29272,GSM723627,TYC0010,Tumor,-0.495605114498706,0.109719411276839,0.737264920060607
GSE29272,GSM723628,TYC0011,Normal,0.757993713753285,-0.832222119756336,-1.20121022949042
GSE29272,GSM723629,TYC0011,Tumor,-0.450411965708534,0.0477644908937989,0.64874770089139
GSE29272,GSM723630,TYC0012,Normal,0.748158655820371,-0.485672832847046,-0.603405466003514
GSE29272,GSM723631,TYC0012,Tumor,-1.29158024212053,-1.25835726628013,0.278851627749327
GSE29272,GSM723632,TYC0013,Normal,0.697531526307704,-0.100336215491093,-0.764715308790422
GSE29272,GSM723633,TYC0013,Tumor,-1.35658303951936,-1.47863052291735,-2.8624134528712
GSE29272,GSM723634,TYC0014,Normal,0.504763590688757,-0.452017455467517,0.330271480103833
GSE29272,GSM723635,TYC0014,Tumor,-0.655354941641236,-0.127149423926175,0.304691639628226
GSE29272,GSM723636,TYC0015,Normal,0.73808293725915,-0.215067890738084,-0.750285992477295
GSE29272,GSM723637,TYC0015,Tumor,-0.945803930281709,-0.702129037125797,1.26544194609991
GSE29272,GSM723638,TYC0016,Normal,0.140411795017841,1.65664887626174,-0.113865316908711
GSE29272,GSM723639,TYC0016,Tumor,-1.3092564033695,-1.25257850654723,0.14757519910103
GSE29272,GSM723640,TYC0017,Normal,0.763076144051679,-0.355377217033566,-0.627573466066404
GSE29272,GSM723641,TYC0017,Tumor,-1.14787991005875,-0.00166755985838685,0.739999882820695
GSE29272,GSM723642,TYC0018,Normal,0.652949921640537,-0.5574711361476,-1.07866662476557
GSE29272,GSM723643,TYC0018,Tumor,-1.2784498290985,-0.976855902556553,-0.581856691116346
GSE29272,GSM723644,TYC0019,Normal,0.0374907872384164,-0.951818998652893,-1.25453461417729
GSE29272,GSM723645,TYC0019,Tumor,-1.06240951977383,-1.0553944594207,-0.302856596706036
