gene,log2FoldChange,padj,status
TMEM100,-0.69846488280597,1,Not significant
CYP4F12,-0.697108073104478,1,Not significant
FMOD,-0.696024169925373,1,Not significant
RPRM,-0.695430987455224,1,Not significant
CDKN3,0.69526126691791,1,Not significant
PIGR,-0.695062081119404,1,Not significant
PXDN,0.694438513518657,1,Not significant
GHR,-0.694363637044776,1,Not significant
CBR1,-0.694355970723881,1,Not significant
CRLF3,0.692156921014925,1,Not significant
TFRC,0.691820411440299,1,Not significant
KIF20A,0.690993370216418,1,Not significant
NUP62,0.690528878981343,1,Not significant
HEXB,0.690455483619403,1,Not significant
XPO1,0.690382886783583,1,Not significant
LRFN4,0.690326271253731,1,Not significant
SERPINI1,-0.690249570888059,1,Not significant
